iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
11,ATE_intercept,1.86695249680218,1.67950564453111,2.05439934907324,1.67422992448683,2.05967506911752,-1958.09703204325,1961.83093703686,1.20618517311627,0.489780901889039,1.92258944434351,1.29524416347814,0.57883989225091,2.01164843470538,1.87740952769291,1.64451912291583,2.11029993246999,8,3000
12,ATE_intercept,1.7813829843406,1.59211448433248,1.97065148434872,1.58661584733258,1.97615012134862,-1958.18260155571,1961.74536752439,1.82499823595659,1.61265202086112,2.03734445105206,1.81181063150572,1.59946441641025,2.02415684660119,1.72793558577573,1.49114597390959,1.96472519764187,8,3000
13,ATE_intercept,1.63035564917371,1.44436881892109,1.81634247942633,1.43970435225562,1.8210069460918,-1958.33362889088,1961.59434018923,1.5679531839267,1.33540919810394,1.80049716974946,1.58125269261736,1.34870870679459,1.81379667844012,1.73130917136617,1.49937070916511,1.96324763356722,8,3000
14,ATE_intercept,1.69518809430991,1.51087011389724,1.87950607472258,1.50611500431479,1.88426118430503,-1958.26879644574,1961.65917263436,1.71212984750185,1.50844019556993,1.91581949943378,1.71036687482885,1.50667722289692,1.91405652676077,1.76987272124261,1.53856658890428,2.00117885358095,8,3000
15,ATE_intercept,1.69360077471032,1.50047621949135,1.88672532992929,1.49525026178067,1.89195128763997,-1958.27038376534,1961.65758531476,2.63936411455971,0.991759236063743,4.28696899305567,2.45980727378991,0.812202395293947,4.10741215228587,1.87873197006353,1.63999632258034,2.11746761754672,8,3000
16,ATE_intercept,1.67850112212196,1.50043297422972,1.85656927001421,1.4937537011021,1.86324854314183,-1958.28548341793,1961.64248566218,1.02076682660163,-0.789950322228608,2.83148397543186,1.05662612561926,-0.754091023210973,2.86734327444949,1.77225127865998,1.54696722276204,1.99753533455793,8,3000
17,ATE_intercept,1.93402702884297,1.75148759767577,2.11656646001018,1.74707322598519,2.12098083170075,-1958.02995751121,1961.8980115689,1.89622951720215,1.71139894632044,2.08106008808386,1.90808580968892,1.72325523880721,2.09291638057063,2.11671718483053,1.8794035359877,2.35403083367335,8,3000
18,ATE_intercept,1.91677252117479,1.73011356751073,2.10343147483885,1.72502885604858,2.108516186301,-1958.04721201888,1961.88075706123,2.51188874636209,1.32510914430765,3.69866834841653,2.4307044349471,1.24392483289266,3.61748403700154,1.99087637322109,1.75860408129961,2.22314866514257,8,3000
19,ATE_intercept,1.79655507595237,1.61407971348762,1.97903043841711,1.60844614153428,1.98466401037045,-1958.1674294641,1961.76053961601,1.60551301500858,1.31938084439491,1.89164518562226,1.66178620142688,1.37565403081321,1.94791837204055,1.96685138541193,1.73824271988587,2.19546005093799,8,3000
20,ATE_intercept,1.73635543945298,1.55245123211608,1.92025964678988,1.54589443987778,1.92681643902818,-1958.2276291006,1961.70033997951,2.00662697693631,1.72755083312593,2.2857031207467,1.94090751345909,1.66183136964871,2.21998365726948,1.71579008035758,1.47953093981701,1.95204922089815,8,3000
21,ATE_intercept,1.79944332962786,1.61412667330218,1.98475998595354,1.61089360936799,1.98799304988772,-1958.16454121043,1961.76342786968,1.67978046768289,1.52129042636637,1.83827050899941,1.71174312217968,1.55325308086316,1.87023316349621,1.86966724214972,1.64133051175885,2.09800397254058,8,3000
