estimate,CI,cover_true,cover_approx,se,trueATE,approxATE,DR_estimate,DR_se,DR_CI,DR_cover_true,DR_cover_approx,iter,n
-0.0155851164809913,0.270710983306988,1,1,0.0846549133128772,-0.00127635600003984,0.0188383017218344,-0.0137213953929767,0.069099298374359,0.178059536971154,1,1,20,500
-0.0293135165987841,-0.178004514098219,1,1,0.103032290027414,-0.00127635600003984,0.0188383017218344,-0.0745497655958985,0.0687454476046004,-0.157484531925683,1,1,21,500
-0.0328554885492164,0.194937175109339,1,1,0.085505365897122,-0.00127635600003984,0.0188383017218344,-0.0923692562735537,0.0693591112389276,0.176403372550398,1,1,22,500
-0.0336196577715453,-0.0174869226339429,1,1,0.0916279760912222,-0.00127635600003984,0.0188383017218344,-0.0336945063909417,0.0719686301828831,-0.0351617221210463,1,1,23,500
0.122717552278362,0.324843872392295,1,1,0.0869799567001344,-0.00127635600003984,0.0188383017218344,0.0967022127021819,0.0750612172461493,0.253269988192672,1,1,24,500
-0.0237291030860315,-0.134136206695814,1,1,0.0932537490760697,-0.00127635600003984,0.0188383017218344,-0.0833667418293051,0.0804969537315302,-0.138601724528622,1,1,25,500
0.162365314629549,0.17707950423432,0,1,0.08054292616002,-0.00127635600003984,0.0188383017218344,0.157917647004826,0.0698523460843701,0.100053960138375,0,0,26,500
0.0468534853623154,-0.289824367568269,1,1,0.09611243331227,-0.00127635600003984,0.0188383017218344,0.0131717695231117,0.073940003820149,-0.273097008751616,1,1,27,500
-0.0817963255009136,0.0256156598944916,1,1,0.0764790180445444,-0.00127635600003984,0.0188383017218344,-0.0819806744378961,0.0716122662485464,-0.00598260889897956,1,1,28,500
-0.184779144719853,-0.140829955609234,0,0,0.0700563250514404,-0.00127635600003984,0.0188383017218344,-0.181279049307857,0.0611746314824214,-0.145080655244543,0,0,29,500
0.16897707173763,0.212839943384026,1,1,0.101117718406992,-0.00127635600003984,0.0188383017218344,0.132261213421043,0.0744708128863134,0.121505801047085,1,1,30,500
0.193886487677571,-0.129649934227034,0,0,0.0859574647634495,-0.00127635600003984,0.0188383017218344,0.167902398755586,0.0720205723977331,-0.157305764430888,0,0,31,500
-0.0790273257374096,0.246467515104657,1,1,0.0881708805240624,-0.00127635600003984,0.0188383017218344,-0.156934767892723,0.0832682161421798,0.14993397465157,1,0,32,500
0.0468662490636168,-0.212120779274076,1,1,0.0909638200975311,-0.00127635600003984,0.0188383017218344,0.0453494098975755,0.0855382087333703,-0.207335078587558,1,1,33,500
0.308461309798964,0.232063123429276,0,0,0.0719011130474913,-0.00127635600003984,0.0188383017218344,0.296312775078881,0.0658797945199965,0.0884879219054133,0,0,34,500
0.00887776495856621,0.0368715234778426,1,1,0.0793609804265089,-0.00127635600003984,0.0188383017218344,0.00882759850437778,0.0712805481808912,0.0251398657349185,1,1,35,500
0.113541999583656,0.432300615642116,1,1,0.123562590982061,-0.00127635600003984,0.0188383017218344,0.0209668185245457,0.0839352640889801,0.339792427819858,1,1,36,500
-0.102443709024146,-0.32891074460773,1,1,0.101104217105543,-0.00127635600003984,0.0188383017218344,-0.142801275303082,0.086612926137463,-0.330480661535653,1,1,37,500
